Tags,Words,C,AUC
5,100,0.5,0.9290
5,75,0.01,0.9287
5,100,1.0,0.9290
5,75,0.5,0.9290
5,50,0.5,0.9289
5,50,1.0,0.9289
5,50,0.01,0.9286
5,50,5.0,0.9289
5,50,0.1,0.9289
5,75,1.0,0.9290
5,100,0.1,0.9289
5,100,0.01,0.9287
5,75,0.1,0.9289
5,75,10.0,0.9290
5,50,10.0,0.9289
5,75,5.0,0.9290
5,100,5.0,0.9290
5,150,0.01,0.9287
5,150,0.1,0.9290
5,150,0.5,0.9290
5,150,1.0,0.9290
5,100,10.0,0.9290
5,150,10.0,0.9290
5,200,1.0,0.9290
5,150,5.0,0.9290
5,200,0.5,0.9290
5,200,5.0,0.9290
5,200,0.01,0.9287
5,200,0.1,0.9290
5,200,10.0,0.9290
5,225,0.01,0.9287
5,225,0.1,0.9290
5,225,5.0,0.9290
5,225,10.0,0.9290
5,250,1.0,0.9290
5,250,0.01,0.9287
5,225,1.0,0.9290
5,225,0.5,0.9290
5,275,0.01,0.9287
5,250,0.1,0.9290
5,250,10.0,0.9290
5,250,0.5,0.9290
5,275,0.5,0.9290
5,275,0.1,0.9290
5,250,5.0,0.9290
5,275,1.0,0.9290
5,275,5.0,0.9290
5,275,10.0,0.9290
5,300,0.01,0.9287
5,325,0.01,0.9287
5,300,0.1,0.9290
5,325,0.5,0.9290
5,300,10.0,0.9290
5,325,1.0,0.9290
5,325,0.1,0.9290
5,300,5.0,0.9290
5,300,0.5,0.9290
5,325,5.0,0.9290
5,325,10.0,0.9290
5,350,0.1,0.9290
5,350,0.01,0.9287
5,350,0.5,0.9290
5,300,1.0,0.9290
5,350,1.0,0.9290
5,350,5.0,0.9290
5,350,10.0,0.9290
5,400,0.01,0.9287
5,400,0.1,0.9290
5,400,0.5,0.9290
5,400,1.0,0.9290
5,400,5.0,0.9290
5,450,0.1,0.9290
5,450,0.01,0.9288
5,400,10.0,0.9290
5,450,0.5,0.9290
5,500,0.01,0.9288
5,450,1.0,0.9290
5,450,5.0,0.9290
5,450,10.0,0.9290
5,500,0.1,0.9290
5,500,0.5,0.9290
5,500,1.0,0.9290
5,500,5.0,0.9290
5,500,10.0,0.9290
5,550,0.1,0.9290
5,550,5.0,0.9290
5,550,0.01,0.9287
5,600,0.01,0.9287
5,550,10.0,0.9290
5,550,1.0,0.9290
5,550,0.5,0.9290
5,600,0.1,0.9290
5,600,0.5,0.9290
5,600,1.0,0.9290
5,600,5.0,0.9290
5,600,10.0,0.9290
6,50,0.01,0.9281
6,50,0.5,0.9284
6,50,0.1,0.9284
6,75,0.01,0.9281
6,50,1.0,0.9284
6,50,5.0,0.9284
6,75,0.1,0.9284
6,50,10.0,0.9284
6,75,0.5,0.9284
6,75,5.0,0.9284
6,75,10.0,0.9284
6,75,1.0,0.9284
6,100,0.01,0.9281
6,100,0.1,0.9284
6,100,0.5,0.9284
6,100,1.0,0.9284
6,100,5.0,0.9284
6,100,10.0,0.9284
6,150,0.01,0.9281
6,150,0.5,0.9284
6,150,0.1,0.9284
6,150,5.0,0.9284
6,150,1.0,0.9284
6,150,10.0,0.9284
6,200,0.01,0.9282
6,200,0.1,0.9284
